part_name,kind,status,anderson_family,ecoli_tagged
BBa_J23100,promoter,Available,1,1
BBa_J23101,promoter,Available,1,1
BBa_J23102,promoter,Available,1,1
BBa_J23103,promoter,Available,1,1
BBa_J23104,promoter,Available,1,1
BBa_J23105,promoter,Available,1,1
BBa_J23106,promoter,Available,1,1
BBa_J23107,promoter,Planning,1,1
BBa_J23108,promoter,Available,1,1
BBa_J23109,promoter,Available,1,1
BBa_J23110,promoter,Available,1,1
BBa_J23111,promoter,Available,1,1
BBa_J23112,promoter,Available,1,1
BBa_J23113,promoter,Available,1,1
BBa_J23114,promoter,Available,1,1
BBa_J23115,promoter,Available,1,1
BBa_J23116,promoter,Available,1,1
BBa_J23117,promoter,Available,1,1
BBa_J23118,promoter,Available,1,1
BBa_J23119,promoter,Available,1,1
BBa_K1330002,promoter,Available,1,1
BBa_K1585100,promoter,Unavailable,1,1
BBa_K1585101,promoter,Unavailable,1,1
BBa_K1585102,promoter,Unavailable,1,1
BBa_K1585103,promoter,Unavailable,1,1
BBa_K1585104,promoter,Unavailable,1,1
BBa_K1585105,promoter,Unavailable,1,1
BBa_K1585106,promoter,Unavailable,1,1
BBa_K1585110,promoter,Unavailable,1,1
BBa_K1585113,promoter,Unavailable,1,1
BBa_K1585115,promoter,Unavailable,1,1
BBa_K1585116,promoter,Unavailable,1,1
BBa_K1585117,promoter,Unavailable,1,1
BBa_K1585118,promoter,Unavailable,1,1
BBa_K1585119,promoter,Unavailable,1,1
BBa_K1679004,promoter,Planning,1,0
BBa_K2486171,promoter,Unavailable,1,1
BBa_K823004,promoter,Available,1,1
BBa_K823005,promoter,Available,1,1
BBa_K823006,promoter,Available,1,1
BBa_K823007,promoter,Available,1,1
BBa_K823008,promoter,Available,1,1
BBa_K823010,promoter,Available,1,1
BBa_K823011,promoter,Available,1,1
BBa_K823013,promoter,Available,1,1
BBa_K823014,promoter,Available,1,1
BBa_I0500,promoter,Available,0,1
BBa_I1051,promoter,Available,0,1
BBa_I12006,promoter,Available,0,1
BBa_I12007,promoter,Available,0,1
BBa_I12036,promoter,Available,0,1
BBa_I12040,promoter,Available,0,1
BBa_I12210,promoter,Available,0,1
BBa_I13453,promoter,Available,0,1
BBa_I14015,promoter,Available,0,1
BBa_I14016,promoter,Available,0,1
BBa_I14017,promoter,Available,0,1
BBa_I14018,promoter,Available,0,1
BBa_I14032,promoter,Available,0,1
BBa_I14033,promoter,Available,0,1
BBa_I14034,promoter,Available,0,1
BBa_I712004,promoter,Available,0,0
BBa_I712074,promoter,Available,0,1
BBa_I718018,promoter,Available,0,1
BBa_I719005,promoter,Available,0,1
BBa_I732205,promoter,Available,0,1
BBa_I741018,promoter,Available,0,1
BBa_I746104,promoter,Available,0,1
BBa_I746360,promoter,Available,0,1
BBa_I746361,promoter,Available,0,1
BBa_I746364,promoter,Available,0,1
BBa_I746365,promoter,Available,0,1
BBa_I765001,promoter,Available,0,1
BBa_J05209,promoter,Available,0,1
BBa_J05210,promoter,Available,0,1
BBa_J06403,promoter,Available,0,1
BBa_J13210,promoter,Available,0,1
BBa_J176017,promoter,Available,0,0
BBa_J22106,promoter,Available,0,1
BBa_J23150,promoter,Available,0,1
BBa_J44002,promoter,Available,0,1
BBa_J45992,promoter,Available,0,1
BBa_J61051,promoter,Available,0,1
BBa_J63006,promoter,Available,0,0
BBa_J72005,promoter,Available,0,1
BBa_K086017,promoter,Available,0,1
BBa_K091100,promoter,Available,0,1
BBa_K091146,promoter,Available,0,1
BBa_K1021010,promoter,Available,0,0
BBa_K112118,promoter,Available,0,1
BBa_K113009,promoter,Available,0,1
BBa_K116401,promoter,Available,0,1
BBa_K117002,promoter,Available,0,1
BBa_K118011,promoter,Available,0,1
BBa_K1216007,promoter,Available,0,0
BBa_K131017,promoter,Available,0,0
BBa_K1315001,promoter,Available,0,1
BBa_K1315006,promoter,Available,0,1
BBa_K143012,promoter,Available,0,0
BBa_K1467101,promoter,Available,0,0
BBa_K1467102,promoter,Available,0,0
BBa_K1467103,promoter,Available,0,0
BBa_K1467104,promoter,Available,0,0
BBa_K1509001,promoter,Available,0,0
BBa_K1509003,promoter,Available,0,0
BBa_K1554000,promoter,Available,0,0
BBa_K1614000,promoter,Available,0,1
BBa_K1620000,promoter,Available,0,0
BBa_K1620001,promoter,Available,0,0
BBa_K165037,promoter,Available,0,0
BBa_K1668004,promoter,Available,0,0
BBa_K1682004,promoter,Available,0,1
BBa_K1725400,promoter,Available,0,0
BBa_K176009,promoter,Available,0,0
BBa_K180000,promoter,Available,0,1
BBa_K190015,promoter,Available,0,0
BBa_K200012,promoter,Available,0,1
BBa_K206000,promoter,Available,0,1
BBa_K206001,promoter,Available,0,1
BBa_K216005,promoter,Available,0,1
BBa_K2601001,promoter,Available,0,0
BBa_K346002,promoter,Available,0,0
BBa_K398326,promoter,Available,0,0
BBa_K431007,promoter,Available,0,0
BBa_K518010,promoter,Available,0,0
BBa_K518011,promoter,Available,0,0
BBa_K525998,promoter,Available,0,0
BBa_K540001,promoter,Available,0,0
BBa_K592008,promoter,Available,0,0
BBa_K678000,promoter,Available,0,0
BBa_K678001,promoter,Available,0,0
BBa_K731201,promoter,Available,0,1
BBa_K733001,promoter,Available,0,0
BBa_K747096,promoter,Available,0,0
BBa_K774000,promoter,Available,0,0
BBa_K774001,promoter,Available,0,0
BBa_K801010,promoter,Available,0,0
BBa_K808000,promoter,Available,0,1
BBa_K819017,promoter,Available,0,0
BBa_K823000,promoter,Available,0,0
BBa_K823001,promoter,Available,0,0
BBa_K823002,promoter,Available,0,0
BBa_K823003,promoter,Available,0,0
BBa_K847211,promoter,Available,0,1
BBa_K864400,promoter,Available,0,1
BBa_K873002,promoter,Available,0,1
BBa_K896008,promoter,Available,0,0
BBa_K914003,promoter,Available,0,0
BBa_K950000,promoter,Available,0,0
BBa_K950002,promoter,Available,0,0
BBa_R0010,promoter,Available,0,1
BBa_R0011,promoter,Available,0,1
BBa_R0040,promoter,Available,0,1
BBa_R0051,promoter,Available,0,1
BBa_R0052,promoter,Available,0,1
BBa_R0053,promoter,Available,0,1
BBa_R0061,promoter,Available,0,1
BBa_R0062,promoter,Available,0,1
